iter	Logloss
0	0.6588349316
1	0.6067093293
2	0.5789288983
3	0.5536293651
4	0.5273377748
5	0.5013207773
6	0.4717377149
7	0.4566012313
8	0.4390772346
9	0.4216916436
10	0.4036603349
11	0.3935081973
12	0.3789785534
13	0.3670330599
14	0.357267143
15	0.3480312001
16	0.338146002
17	0.329687175
18	0.3220362641
19	0.3147315072
20	0.3069400897
21	0.3018257861
22	0.2944224911
23	0.2888871763
24	0.2857994677
25	0.2806677366
26	0.2758271519
27	0.2718456874
28	0.2685876062
29	0.2658584564
30	0.262407297
31	0.2588054985
32	0.2563917229
33	0.2543636522
34	0.2524064169
35	0.2495910553
36	0.2472828977
37	0.2455462769
38	0.2434806994
39	0.2416614688
40	0.2414288851
41	0.239975567
42	0.2378730532
43	0.2364923131
44	0.2354223195
45	0.2342985092
46	0.2328053191
47	0.2318528055
48	0.2307833409
49	0.2298627909
50	0.2289244067
51	0.2278274042
52	0.2265570841
53	0.2262033375
54	0.2245337063
55	0.2235011491
56	0.2223671782
57	0.2215566107
58	0.2209957964
59	0.2202802168
60	0.219586382
61	0.2183843626
62	0.2175285119
63	0.2167833945
64	0.2159337624
65	0.2153974858
66	0.2146790427
67	0.2134995621
68	0.2130416025
69	0.2121514573
70	0.2119767826
71	0.2114243393
72	0.2108063954
73	0.2101403294
74	0.2095440831
75	0.2089414111
76	0.2086120984
77	0.2074660054
78	0.2070233789
79	0.206739375
80	0.2064010927
81	0.2057417706
82	0.2053496368
83	0.204840305
84	0.20472927
85	0.2047077153
86	0.2043414333
87	0.2042336912
88	0.2034329206
89	0.202749842
90	0.2021433651
91	0.2020953577
92	0.2018080983
93	0.2015770244
94	0.2009509574
95	0.2004237382
96	0.2000631116
97	0.1996563001
98	0.1991486664
99	0.1989402106
100	0.1987176938
101	0.1983343675
102	0.1980231032
103	0.197697214
104	0.1974121606
105	0.1971154299
106	0.1964787923
107	0.1962249022
108	0.1959455999
109	0.1952134606
110	0.1949982307
111	0.1948744733
112	0.1945783822
113	0.194208585
114	0.1941108506
115	0.1939101847
116	0.193533866
117	0.1931979554
118	0.1930343137
119	0.1925084328
120	0.1924074847
121	0.1922435331
122	0.1919901964
123	0.1916190023
124	0.1915136435
125	0.1912500811
126	0.1907020631
127	0.1904043913
128	0.1901930264
129	0.1898993528
130	0.1896899291
131	0.189294916
132	0.1890696839
133	0.1886507096
134	0.1883921543
135	0.1883571361
136	0.1882046078
137	0.1879460826
138	0.1877855613
139	0.1876641398
140	0.1876490128
141	0.1874814051
142	0.1873282995
143	0.1871495425
144	0.1869574132
145	0.1869440402
146	0.186910779
147	0.1866322291
148	0.1861954557
149	0.186038758
150	0.1857737655
151	0.1855780297
152	0.1855265864
153	0.1853000267
154	0.1851424233
155	0.1849623607
156	0.1848947325
157	0.184405625
158	0.1842736818
159	0.1841020142
160	0.1839066669
161	0.1838771933
162	0.1836694254
163	0.1833665287
164	0.1832928106
165	0.1829979305
166	0.1828414552
167	0.1827400241
168	0.1826630879
169	0.1823639429
170	0.1819693536
171	0.1818262749
172	0.1817226662
173	0.1813259122
174	0.1812547927
175	0.1808704085
176	0.1807454204
177	0.1806975952
178	0.1805507445
179	0.1801834366
180	0.1801065042
181	0.1798267272
182	0.1798178718
183	0.1797815826
184	0.1797547592
185	0.1796077598
186	0.1796024383
187	0.1794812048
188	0.1794163105
189	0.1792937755
190	0.1792340739
191	0.1792138014
192	0.1791304664
193	0.1790713574
194	0.1790610376
195	0.1790404517
196	0.1790257198
197	0.1786211443
198	0.1782765265
199	0.1781937941
200	0.1781901012
201	0.1781506381
202	0.1780902604
203	0.177966334
204	0.1778033803
205	0.1774505138
206	0.1772832216
207	0.1772462792
208	0.1770440252
209	0.1769577097
210	0.1767897167
211	0.1767082699
212	0.1766175289
213	0.1764990117
214	0.1764806315
215	0.1764486585
216	0.1761478039
217	0.1759618388
218	0.1758575097
219	0.1757975579
220	0.1756808242
221	0.1756684131
222	0.1756607997
223	0.1756347754
