iter	Passed	Remaining
0	722	3610610
1	1428	3570682
2	2001	3334172
3	2714	3390710
4	3372	3369306
5	4043	3365680
6	4593	3276825
7	5179	3231949
8	5866	3253038
9	6426	3206699
10	7169	3251916
11	7612	3164119
12	8307	3186705
13	8867	3157935
14	9690	3220405
15	10321	3215070
16	10946	3208687
17	11711	3241379
18	12363	3241143
19	12906	3213828
20	13644	3235107
21	14351	3247317
22	15136	3275404
23	15857	3287768
24	16585	3300509
25	17305	3310606
26	17902	3297440
27	18645	3310940
28	19488	3340555
29	20282	3360175
30	20791	3332751
31	21524	3341625
32	22314	3358699
33	23071	3369783
34	23761	3370668
35	24283	3348441
36	24981	3350851
37	25648	3349145
38	26296	3345088
39	27038	3352819
40	27181	3287690
41	27764	3277480
42	28381	3271755
43	29119	3279923
44	29820	3283564
45	30630	3298720
46	31445	3313827
47	32108	3312520
48	32868	3321045
49	33585	3324966
50	34285	3327038
51	34992	3329636
52	35707	3332964
53	36067	3303508
54	36732	3302608
55	37530	3313449
56	38113	3305219
57	38813	3307177
58	39667	3321995
59	40308	3318693
60	41143	3331313
61	41838	3332205
62	42516	3331820
63	43340	3342613
64	44064	3345516
65	44649	3337876
66	45445	3346033
67	45984	3335252
68	46740	3340238
69	47294	3330855
70	47665	3309082
71	48358	3309885
72	49095	3313616
73	49679	3307062
74	50466	3313994
75	51208	3317763
76	52108	3331584
77	52634	3321374
78	53234	3316049
79	54095	3326891
80	54795	3327620
81	55507	3329091
82	56216	3330325
83	56934	3332050
84	57428	3320706
85	57572	3289653
86	58372	3296354
87	58684	3275680
88	59421	3278868
89	59995	3273102
90	60771	3278339
91	61075	3258221
92	61664	3253652
93	62476	3260746
94	63082	3257060
95	63859	3262173
96	64563	3263447
97	65478	3275275
98	66170	3275764
99	67127	3289231
100	67926	3294786
101	68596	3293958
102	69377	3298453
103	70207	3305175
104	71117	3315431
105	72149	3331123
106	72818	3329933
107	73472	3328023
108	74322	3334969
109	75047	3336183
110	75680	3333359
111	76541	3340495
112	77192	3338420
113	77763	3332906
114	78668	3341700
115	79446	3344957
116	80158	3345411
117	80848	3344926
118	81639	3348574
119	82398	3350878
120	83002	3346858
121	83800	3350662
122	84640	3356030
123	85391	3357802
124	86056	3356219
125	86771	3356538
126	87462	3355954
127	88225	3358089
128	88953	3358846
129	89713	3360812
130	90434	3361281
131	91012	3356412
132	91891	3362664
133	92600	3362637
134	93380	3365151
135	93708	3351473
136	94580	3357261
137	95237	3355397
138	95983	3356673
139	96810	3360723
140	96962	3341423
141	97756	3344388
142	98566	3347809
143	99353	3350419
144	100296	3358217
145	100575	3343784
146	101248	3342590
147	101918	3341279
148	102496	3336990
149	103378	3342568
150	103932	3337554
151	104551	3334657
152	104776	3319299
153	105436	3317823
154	106234	3320699
155	107030	3323442
156	107950	3329955
157	108660	3329960
158	109462	3332741
159	110351	3338133
160	111113	3339611
161	111405	3327029
162	111947	3322035
163	112677	3322615
164	113623	3329521
165	114293	3328270
166	115271	3335974
167	116040	3337532
168	117077	3346765
169	117691	3343822
170	118341	3341939
171	119182	3345418
172	120097	3350926
173	120785	3350066
174	121562	3351643
175	122242	3350560
176	123172	3356289
177	123535	3346573
178	124337	3348788
179	125020	3347760
180	125870	3351219
181	126555	3350254
182	126695	3334939
183	127616	3340219
184	128357	3340768
185	128938	3337149
186	129084	3322361
187	129776	3321727
188	130513	3322236
189	131325	3324604
190	132228	3329256
191	132656	3321929
192	133330	3320836
193	134158	3323542
194	134600	3316702
195	135603	3323660
196	135750	3309699
197	136421	3308570
198	137098	3307589
199	138018	3312432
200	138244	3300663
201	138537	3290617
202	139122	3287548
203	139859	3288062
204	140697	3290951
205	141433	3291421
206	142200	3292594
207	142635	3286102
208	143423	3287750
209	144125	3287428
210	144825	3287068
211	145732	3291355
212	146853	3300405
213	147472	3298152
214	147893	3291496
215	148448	3287860
216	149047	3285220
217	149750	3284893
218	150460	3284707
219	151251	3286274
220	152008	3287097
221	152298	3277841
222	152477	3266294
223	152976	3261671
224	153672	3261275
225	154358	3260644
226	154506	3248722
227	155241	3249177
228	155983	3249766
229	156182	3239095
230	156513	3231232
231	156725	3220971
232	157703	3226500
233	158377	3225748
234	159408	3232257
235	160185	3233568
236	160498	3225543
237	161298	3227330
238	161365	3214487
239	162286	3218672
240	163102	3220762
241	163885	3222176
242	164032	3211128
243	164168	3199945
244	165074	3203788
245	165802	3204164
246	166651	3206856
247	167460	3208749
248	167784	3201390
249	168686	3205037
250	169584	3208594
251	169729	3197924
252	170596	3200875
253	171152	3197990
254	171872	3198185
255	172762	3201503
256	173028	3193277
257	173815	3194695
258	174590	3195891
259	175395	3197597
260	175616	3188679
261	176445	3190828
262	177041	3188760
263	177550	3185157
264	178413	3187883
265	178552	3177701
266	178864	3170656
267	179011	3160752
268	179762	3161543
269	180569	3163302
270	180907	3156870
271	181631	3157185
272	182520	3160353
273	183456	3164298
274	184173	3164432
275	184989	3166277
276	185740	3166968
277	186467	3167272
278	187404	3171100
279	188126	3171272
280	189029	3174487
281	189775	3175040
282	190442	3174266
283	191250	3175840
284	192229	3180223
285	192961	3180487
286	193964	3185213
287	194731	3186024
288	195560	3187835
289	195702	3178480
290	196334	3177105
291	197160	3178882
292	198124	3182833
293	198854	3183021
294	199536	3182444
295	199858	3176127
296	200094	3168494
297	201068	3172562
298	201882	3174082
299	202448	3171693
300	203200	3172222
301	204079	3174714
302	204323	3167351
303	205232	3170299
304	205978	3170718
305	206755	3171595
306	207588	3173335
307	208414	3174934
308	209278	3177098
309	209486	3169325
310	210133	3168211
311	210873	3168508
312	211567	3168108
313	211713	3159517
314	212595	3161941
315	213267	3161217
316	214132	3163358
317	214969	3165061
318	215830	3167090
319	216788	3170529
320	217562	3171265
321	218645	3176477
322	219474	3177965
323	220426	3181210
324	221064	3179927
325	221433	3174783
326	222228	3175766
327	223118	3178084
328	223995	3180198
329	224658	3179254
330	224808	3171084
331	225210	3166517
332	226001	3167413
333	226594	3165543
334	227413	3166817
335	228370	3170000
336	229109	3170138
337	229929	3171397
338	230563	3170077
339	231207	3168909
340	231966	3169307
341	232990	3173309
342	233665	3172530
343	234488	3173773
344	234697	3166717
345	235236	3164128
346	236068	3165494
347	236399	3160147
348	237108	3159863
349	238140	3163871
